fold,model,family,reduction,optimizer,n_train,n_test,search_time_s,best_params,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,tn,fp,fn,tp,status,fit_time_s,n_reduced_features,dataset,inner_f1,n_evaluations,convergence,stopped_early
0,LogReg,classical,PCA,default,1200,2000,5.00003807246685e-07,{},0.659,0.308659217877095,0.5416666666666666,0.3932384341637011,0.6153685092127303,0.1939455711122382,0.6773974036850922,1097,495,187,221,ok,0.0413830999750644,4,Bank Customer Churn,,,,
1,LogReg,classical,PCA,default,1200,2000,2.00001522898674e-07,{},0.6415,0.3104294478527607,0.6200980392156863,0.4137367130008176,0.633541481919401,0.2190331357404812,0.6751373288008671,1030,562,155,253,ok,0.0339721000054851,4,Bank Customer Churn,,,,
2,LogReg,classical,PCA,default,1200,2000,3.00002284348011e-07,{},0.666,0.3133047210300429,0.538083538083538,0.3960216998191682,0.6183826353317878,0.1999152183669144,0.6616801701547463,1113,480,188,219,ok,0.0401728999568149,4,Bank Customer Churn,,,,
3,LogReg,classical,PCA,default,1200,2000,3.00002284348011e-07,{},0.6575,0.3175853018372703,0.5945945945945946,0.4140290846877673,0.6340832357781511,0.2223165336067509,0.6914819287700644,1073,520,165,242,ok,0.0405498999753035,4,Bank Customer Churn,,,,
4,LogReg,classical,PCA,default,1200,2000,4.00003045797348e-07,{},0.6345,0.2868421052631579,0.5356265356265356,0.3736075407026564,0.5976939959990808,0.1620635408853667,0.6452045265604588,1051,542,189,218,ok,0.0380438999854959,4,Bank Customer Churn,,,,
5,LogReg,classical,PCA,default,1200,2000,6.00004568696022e-07,{},0.658,0.3221649484536082,0.6127450980392157,0.4222972972972973,0.6411715439944823,0.2334840424997822,0.6906099123066313,1066,526,158,250,ok,0.0379302999936044,4,Bank Customer Churn,,,,
6,LogReg,classical,PCA,default,1200,2000,3.999448381364346e-07,{},0.6365,0.3125734430082256,0.6519607843137255,0.4225575853852263,0.6422492363779683,0.2318765116477936,0.6916583530397082,1007,585,142,266,ok,0.0526415000203996,4,Bank Customer Churn,,,,
7,LogReg,classical,PCA,default,1200,2000,4.00003045797348e-07,{},0.655,0.3037447988904299,0.538083538083538,0.3882978723404255,0.6114774250367471,0.1869472633981197,0.6725600793397404,1091,502,188,219,ok,0.0462478999979794,4,Bank Customer Churn,,,,
8,LogReg,classical,PCA,default,1200,2000,6.00004568696022e-07,{},0.67,0.3302013422818792,0.6044226044226044,0.4270833333333333,0.6455885777919677,0.2424724454031171,0.7083524202168271,1094,499,161,246,ok,0.0354019000078551,4,Bank Customer Churn,,,,
9,LogReg,classical,PCA,default,1200,2000,3.00002284348011e-07,{},0.618,0.2851985559566787,0.5823095823095823,0.3828756058158319,0.6047141131886895,0.1710931175417231,0.6532433820569412,999,594,170,237,ok,0.0312979000154882,4,Bank Customer Churn,,,,
10,LogReg,classical,PCA,default,1200,2000,2.00001522898674e-07,{},0.6735,0.3146747352496218,0.5098039215686274,0.3891487371375117,0.61262809143758,0.1929688974271051,0.6632057345551287,1139,453,200,208,ok,0.032164099975489,4,Bank Customer Churn,,,,
11,LogReg,classical,PCA,default,1200,2000,3.00002284348011e-07,{},0.66,0.3057142857142857,0.5245098039215687,0.3862815884476534,0.6096167110060104,0.1852199147153345,0.6610318750615825,1106,486,194,214,ok,0.0431201999890618,4,Bank Customer Churn,,,,
12,LogReg,classical,PCA,default,1200,2000,3.00002284348011e-07,{},0.6445,0.3168674698795181,0.6461916461916462,0.4252223120452708,0.6451297214009077,0.2371698465977081,0.6963789675654082,1026,567,144,263,ok,0.0380529999965801,4,Bank Customer Churn,,,,
13,LogReg,classical,PCA,default,1200,2000,3.00002284348011e-07,{},0.617,0.2910360884749709,0.6142506142506142,0.3949447077409163,0.6159765312307686,0.1886539050131971,0.6611511357274069,984,609,157,250,ok,0.0407433999935165,4,Bank Customer Churn,,,,
14,LogReg,classical,PCA,default,1200,2000,4.00003045797348e-07,{},0.635,0.3162684869169511,0.683046683046683,0.432348367029549,0.652885551190636,0.2480300424900874,0.7041664160308228,992,601,129,278,ok,0.0487241000519134,4,Bank Customer Churn,,,,
0,SVC,classical,PCA,default,1200,2000,2.00001522898674e-07,{},0.615,0.3045356371490281,0.6911764705882353,0.4227886056971514,0.6433269287614543,0.2316603828333054,0.6918092299733963,948,644,126,282,ok,0.1972686000517569,4,Bank Customer Churn,,,,
1,SVC,classical,PCA,default,1200,2000,3.00002284348011e-07,{},0.611,0.2971491228070175,0.6642156862745098,0.4106060606060606,0.6307887476598679,0.2116362820343607,0.6788646048871809,951,641,137,271,ok,0.199934399977792,4,Bank Customer Churn,,,,
2,SVC,classical,PCA,default,1200,2000,5.00003807246685e-07,{},0.5855,0.2820247933884297,0.6707616707616708,0.3970909090909091,0.6172389646965919,0.1888989463641694,0.6539251115522303,898,695,134,273,ok,0.158238900010474,4,Bank Customer Churn,,,,
3,SVC,classical,PCA,default,1200,2000,2.00001522898674e-07,{},0.664,0.3366214549938348,0.6707616707616708,0.4482758620689655,0.6665170563475649,0.2730816125374725,0.7238409441799273,1055,538,134,273,ok,0.1924009000067599,4,Bank Customer Churn,,,,
